Person,Time,Date,Number of Guesses,Correct Letters Guess 1,Correct Letters Guess 2,Correct Letters Guess 3,Correct Letters Guess 4,Correct Letters Guess 5,Correct Letters Guess 6
Kathryn,00:20:00,14/01/2022,7,2,3,3,3,3,4
Celeste,00:31:00,14/01/2022,5,2,3,3,4,5,5
Ben,08:38:00,14/01/2022,4,2,2,4,5,5,5
Andrew,08:48:00,14/01/2022,5,0,3,3,3,5,5
Rob W,08:54:00,14/01/2022,3,1,2,5,5,5,5
Sam,09:47:00,14/01/2022,3,3,3,5,5,5,5
Rhi,10:39:00,14/01/2022,4,1,2,3,5,5,5
Jordan,10:46:00,14/01/2022,4,1,2,5,5,5,5
Matt,11:35:00,14/01/2022,3,2,3,5,5,5,5
Zora,14:17:00,14/01/2022,4,1,1,3,3,5,5
Henry,00:13:00,15/01/2022,4,1,2,4,5,5,5
Ben,00:14:00,15/01/2022,4,1,2,3,5,5,5
Celeste,00:21:00,15/01/2022,4,0,0,0,5,5,5
Rhi,00:34:00,15/01/2022,3,1,2,5,5,5,5
Sam,09:01:00,15/01/2022,3,3,3,5,5,5,5
Andrew,09:08:00,15/01/2022,4,2,3,4,5,5,5
Jonny,10:34:00,15/01/2022,4,2,2,3,5,5,5
Matt,11:50:00,15/01/2022,3,1,2,5,5,5,5
Rob F,12:20:00,15/01/2022,4,1,3,3,5,5,5
Zora,12:29:00,15/01/2022,3,2,4,5,5,5,5
Kathryn,12:30:00,15/01/2022,3,2,2,5,5,5,5
Jonny,07:59:00,16/01/2022,4,1,3,4,5,5,5
Celeste,08:54:00,16/01/2022,3,3,3,5,5,5,5
Andrew,08:58:00,16/01/2022,4,3,3,3,5,5,5
Matt,10:24:00,16/01/2022,4,3,3,4,5,5,5
Kathryn,10:29:00,16/01/2022,2,4,2,5,5,5,5
Sam,11:30:00,16/01/2022,3,2,4,5,5,5,5
Rhi,12:00:00,16/01/2022,4,2,3,4,5,5,5
